Transaction_ID,Customer_Name,Gender,Join_Date,Customer_Age,Income_USD,Purchase_Amount,Product_Category,Country,Purchase_Amount_Capped
TXN-1000,Robert Downey,Male,2022-01-15,54,120000.5,280.01,Beauty,United States,280.01
TXN-1001,Emily Watson,Female,2022-01-15,42,150000.0,266.55,Electronics,United Kingdom,266.55
TXN-1002,Laura Croft,Female,2022-11-04,35,120000.5,148.31,Electronics,United States,148.31
TXN-1003,David Beckham,Male,2022-11-04,36,45000.0,156.06,Electronics,United States,156.06
TXN-1004,Robert Downey,Female,2021-12-01,40,32000.0,146.14,Electronics,United States,146.14
TXN-1005,Unknown Customer,Female,2022-01-15,44,85000.0,388.04,Clothing,United States,388.04
TXN-1006,Michael Jordan,Male,2022-01-15,55,85000.0,329.43,Electronics,Canada,329.43
TXN-1007,Robert Downey,Female,2023-05-10,44,55000.0,417.88,Electronics,United States,417.88
TXN-1008,Laura Croft,Female,2020-08-15,35,150000.0,487.98,Clothing,United Kingdom,487.98
TXN-1009,David Beckham,Male,2023-05-10,43,85000.0,242.34,Electronics,Canada,242.34
TXN-1010,Emily Watson,Male,2023-05-10,23,55000.0,15000.0,Clothing,Canada,724.42625
TXN-1011,Laura Croft,Male,2023-05-10,21,32000.0,33.57,Electronics,Canada,33.57
TXN-1012,Laura Croft,Male,2020-07-19,61,85000.0,154.88,Beauty,Canada,154.88
TXN-1013,Michael Jordan,Female,2021-12-01,68,55000.0,466.95,Electronics,United Kingdom,466.95
TXN-1014,Anna Kournikova,Female,2020-08-15,46,55000.0,266.37,Home & Kitchen,United States,266.37
TXN-1015,David Beckham,Male,2020-08-15,51,150000.0,248.73,Beauty,United States,248.73
TXN-1016,Sarah Connor,Male,2023-05-10,34,95000.0,205.59,Electronics,United Kingdom,205.59
TXN-1017,Laura Croft,Male,2021-12-01,60,85000.0,303.31,Electronics,United States,303.31
TXN-1018,Anna Kournikova,Male,2022-01-15,60,85000.0,329.95,Beauty,United States,329.95
TXN-1019,Sarah Connor,Female,2020-08-15,44,32000.0,85.42,Electronics,United States,85.42
TXN-1020,David Beckham,Male,2022-01-15,33,85000.0,488.75,Clothing,United States,488.75
TXN-1021,John Smith,Male,2023-05-10,19,45000.0,276.94,Clothing,United Kingdom,276.94
TXN-1022,Unknown Customer,Male,2019-08-11,51,95000.0,76.49,Clothing,United States,76.49
TXN-1023,Anna Kournikova,Female,2021-12-01,44,45000.0,447.88,Clothing,United States,447.88
TXN-1024,Chris Hemsworth,Male,2021-03-22,25,32000.0,46.57,Electronics,United Kingdom,46.57
TXN-1025,John Smith,Female,2021-03-22,30,150000.0,454.79,Beauty,Canada,454.79
TXN-1026,Unknown Customer,Male,2022-11-04,59,150000.0,498.32,Electronics,United States,498.32
TXN-1027,Michael Jordan,Female,2022-01-15,25,32000.0,353.21,Clothing,United States,353.21
TXN-1028,Robert Downey,Female,2021-03-22,47,120000.5,387.52,Electronics,United States,387.52
TXN-1029,Emily Watson,Male,2021-03-22,49,32000.0,175.28,Beauty,United States,175.28
TXN-1030,Chris Hemsworth,Male,2022-01-15,53,95000.0,471.37,Beauty,United States,471.37
TXN-1031,Michael Jordan,Female,2022-01-15,64,62500.0,269.56,Beauty,United States,269.56
TXN-1032,David Beckham,Female,2023-05-10,47,150000.0,368.87,Electronics,United States,368.87
TXN-1033,Michael Jordan,Male,2019-08-11,18,85000.0,462.81,Home & Kitchen,United States,462.81
TXN-1034,Robert Downey,Female,2020-08-15,60,95000.0,487.84,Clothing,United States,487.84
TXN-1035,David Beckham,Female,2022-01-15,56,95000.0,418.27,Home & Kitchen,United States,418.27
TXN-1036,Chris Hemsworth,Female,2023-05-10,34,95000.0,158.48,Electronics,Canada,158.48
TXN-1037,Robert Downey,Male,2022-01-15,37,55000.0,483.61,Clothing,United States,483.61
TXN-1038,Sarah Connor,Female,2023-05-10,41,95000.0,317.78,Beauty,United States,317.78
TXN-1039,Emily Watson,Male,2019-08-11,67,150000.0,466.01,Home & Kitchen,United States,466.01
TXN-1040,Chris Hemsworth,Female,2023-05-10,39,62500.0,341.29,Clothing,United States,341.29
TXN-1041,Sarah Connor,Male,2022-11-04,46,62500.0,160.55,Electronics,Canada,160.55
TXN-1042,Unknown Customer,Male,2021-03-22,39,95000.0,191.31,Home & Kitchen,Canada,191.31
TXN-1043,Chris Hemsworth,Male,2022-01-15,61,45000.0,279.73,Electronics,Canada,279.73
TXN-1044,Unknown Customer,Female,2022-01-15,26,150000.0,397.11,Electronics,United States,397.11
TXN-1045,David Beckham,Male,2023-05-10,54,150000.0,165.81,Electronics,Germany,165.81
TXN-1046,Sarah Connor,Male,2022-01-15,27,85000.0,294.07,Electronics,United Kingdom,294.07
TXN-1047,Emily Watson,Male,2020-08-15,53,85000.0,179.36,Electronics,United States,179.36
TXN-1048,Robert Downey,Female,2023-05-10,54,120000.5,409.73,Clothing,United States,409.73
TXN-1049,Laura Croft,Female,2020-08-15,45,120000.5,238.7,Electronics,United States,238.7
TXN-1050,Michael Jordan,Male,2021-03-22,45,45000.0,15000.0,Electronics,Germany,724.42625
TXN-1051,John Smith,Female,2021-03-22,59,120000.5,91.37,Beauty,United States,91.37
TXN-1052,Emily Watson,Female,2019-08-11,60,85000.0,39.94,Clothing,United Kingdom,39.94
TXN-1053,Sarah Connor,Female,2022-11-04,38,32000.0,254.66,Beauty,United States,254.66
TXN-1054,Laura Croft,Male,2023-05-10,41,120000.5,62.11,Electronics,United States,62.11
TXN-1055,Emily Watson,Male,2022-01-15,59,150000.0,65.93,Electronics,Canada,65.93
TXN-1056,Sarah Connor,Male,2022-01-15,57,32000.0,471.11,Electronics,United States,471.11
TXN-1057,Anna Kournikova,Male,2022-11-04,19,120000.5,437.6,Electronics,Germany,437.6
TXN-1058,Anna Kournikova,Male,2020-08-15,44,150000.0,231.52,Beauty,Germany,231.52
TXN-1059,Unknown Customer,Female,2019-08-11,25,150000.0,493.04,Home & Kitchen,United Kingdom,493.04
TXN-1060,Emily Watson,Male,2021-03-22,65,95000.0,248.73,Clothing,United States,248.73
TXN-1061,Anna Kournikova,Male,2023-05-10,44,62500.0,310.85,Clothing,United States,310.85
TXN-1062,Sarah Connor,Female,2022-11-04,39,45000.0,312.05,Electronics,Canada,312.05
