Transaction_ID,Customer_Name,Gender,Join_Date,Customer_Age,Income_USD,Purchase_Amount,Product_Category,Country
TXN-1000,  robert DOWNEY ,male,2022-01-15,54.0,"$120,000.50",280.01,Beauty,U.S.A.
TXN-1001,emily WATSON ,Female,2022-01-15,42.0,"$150,000.00",266.55,Electronics,United Kingdom
TXN-1002,Laura Croft,Female,11/04/2022,35.0,"$120,000.50",148.31,nan,U.S.A.
TXN-1003,David BECKHAM,Male,11/04/2022,36.0,"$45,000.00",156.06,Electronics,United States
TXN-1004,  robert DOWNEY ,F,2021-12-01,40.0,"$32,000",146.14,Electronics,USA
TXN-1005,nan,female,2022-01-15,200.0,nan,388.04,cloths,USA
TXN-1006,Michael Jordan,Male,2022-01-15,55.0," $85,000 ",329.43,electronics,CAN
TXN-1007,  robert DOWNEY ,Female,2023.05.10,150.0,"$55,000",417.88,Electronics,U.S.A.
TXN-1008,Laura Croft,female,15-Aug-2020,35.0,"$150,000.00",487.98,cloths,UK
TXN-1009,David BECKHAM,male,2023.05.10,43.0,nan,242.34,electronics,CAN
TXN-1010,emily WATSON ,Male,nan,23.0,"$55,000",15000.0,cloths,Canada
TXN-1011,Laura Croft,Male,INVALID_DATE,21.0,"$32,000",33.57,nan,CAN
TXN-1012,Laura Croft,Male,2020/07/19,61.0," $85,000 ",154.88,beauty,CAN
TXN-1013,Michael Jordan,female,2021-12-01,68.0,"$55,000",466.95,electronics,United Kingdom
TXN-1014,ANNA KOURNIKOVA,F,15-Aug-2020,46.0,"$55,000",266.37, Home & Kitchen ,nan
TXN-1015,David BECKHAM,Male,15-Aug-2020,51.0,"$150,000.00",-50.0,beauty,United States
TXN-1016,  sarah CONNOR  ,Male,2023.05.10,34.0,"$95,000.00",205.59,nan,United Kingdom
TXN-1017,Laura Croft,Male,2021-12-01,60.0," $85,000 ",303.31,Electronics,USA
TXN-1018,ANNA KOURNIKOVA,Male,2022-01-15,60.0,nan,329.95,Beauty,USA
TXN-1019,  sarah CONNOR  ,female,15-Aug-2020,-5.0,"$32,000",85.42,nan,US
TXN-1020,David BECKHAM,male,2022-01-15,33.0," $85,000 ",488.75,cloths,US
TXN-1021,John Smith,male,2023.05.10,19.0,"$45,000.00",276.94,cloths,UK
TXN-1022,nan,Male,08-11-2019,51.0,"$95,000.00",76.49,cloths,USA
TXN-1023,ANNA KOURNIKOVA,Female,2021-12-01,200.0,"$45,000.00",447.88,cloths,nan
TXN-1024,  Chris Hemsworth  ,male,03/22/2021,25.0,"$32,000",46.57,nan,United Kingdom
TXN-1025,John Smith,female,INVALID_DATE,30.0,"$150,000.00",454.79,Beauty,Canada
TXN-1026,nan,Male,11/04/2022,59.0,"$150,000.00",498.32,ELECTRONICS,nan
TXN-1027,Michael Jordan,female,2022-01-15,25.0,"$32,000",353.21,cloths,US
TXN-1028,  robert DOWNEY ,Female,03/22/2021,47.0,"$120,000.50",387.52,ELECTRONICS,U.S.A.
TXN-1029,emily WATSON ,Male,03/22/2021,49.0,"$32,000",175.28,Beauty,nan
TXN-1030,  Chris Hemsworth  ,M,2022-01-15,53.0,"$95,000.00",471.37,Beauty,nan
TXN-1031,Michael Jordan,female,INVALID_DATE,64.0,"$62,500",269.56,beauty,nan
TXN-1032,David BECKHAM,F,2023.05.10,47.0,"$150,000.00",368.87,electronics,nan
TXN-1033,Michael Jordan,m,08-11-2019,18.0,UNKNOWN,462.81, Home & Kitchen ,nan
TXN-1034,  robert DOWNEY ,Female,15-Aug-2020,60.0,"$95,000.00",487.84,clothing,US
TXN-1035,David BECKHAM,F,2022-01-15,56.0,"$95,000.00",418.27, Home & Kitchen ,USA
TXN-1036,  Chris Hemsworth  ,Female,2023.05.10,34.0,"$95,000.00",158.48,nan,CAN
TXN-1037,  robert DOWNEY ,Male,2022-01-15,37.0,"$55,000",483.61,clothing,nan
TXN-1038,  sarah CONNOR  ,F,2023.05.10,41.0,"$95,000.00",317.78,Beauty,nan
TXN-1039,emily WATSON ,Male,08-11-2019,67.0,"$150,000.00",466.01, Home & Kitchen ,United States
TXN-1040,  Chris Hemsworth  ,Female,2023.05.10,39.0,"$62,500",341.29,Clothing,USA
TXN-1041,  sarah CONNOR  ,Male,11/04/2022,46.0,"$62,500",160.55,electronics,CAN
TXN-1042,nan,Male,03/22/2021,39.0,"$95,000.00",191.31, Home & Kitchen ,Canada
TXN-1043,  Chris Hemsworth  ,male,2022-01-15,61.0,"$45,000.00",279.73,electronics,Canada
TXN-1044,nan,female,2022-01-15,26.0,"$150,000.00",397.11,ELECTRONICS,U.S.A.
TXN-1045,David BECKHAM,male,2023.05.10,54.0,"$150,000.00",165.81,nan,Germany
TXN-1046,  sarah CONNOR  ,Male,2022-01-15,27.0," $85,000 ",294.07,electronics,United Kingdom
TXN-1047,emily WATSON ,Male,15-Aug-2020,53.0,nan,179.36,ELECTRONICS,United States
TXN-1048,  robert DOWNEY ,Female,2023.05.10,54.0,"$120,000.50",409.73,cloths,USA
TXN-1049,Laura Croft,nan,15-Aug-2020,45.0,"$120,000.50",238.7,ELECTRONICS,USA
TXN-1050,Michael Jordan,m,03/22/2021,45.0,"$45,000.00",15000.0,nan,Germany
TXN-1051,John Smith,Female,03/22/2021,59.0,"$120,000.50",91.37,beauty,U.S.A.
TXN-1052,emily WATSON ,female,08-11-2019,60.0," $85,000 ",39.94,cloths,UK
TXN-1053,  sarah CONNOR  ,Female,11/04/2022,38.0,"$32,000",254.66,Beauty,US
TXN-1054,Laura Croft,Male,2023.05.10,41.0,"$120,000.50",62.11,Electronics,U.S.A.
TXN-1055,emily WATSON ,male,2022-01-15,59.0,"$150,000.00",65.93,ELECTRONICS,CAN
TXN-1056,  sarah CONNOR  ,male,nan,57.0,"$32,000",471.11,ELECTRONICS,U.S.A.
TXN-1057,ANNA KOURNIKOVA,male,11/04/2022,19.0,"$120,000.50",437.6,electronics,Germany
TXN-1058,ANNA KOURNIKOVA,M,15-Aug-2020,200.0,"$150,000.00",231.52,Beauty,Germany
TXN-1059,nan,female,08-11-2019,25.0,"$150,000.00",493.04, Home & Kitchen ,United Kingdom
TXN-1060,emily WATSON ,male,03/22/2021,65.0,"$95,000.00",-50.0,Clothing,United States
TXN-1061,ANNA KOURNIKOVA,m,2023.05.10,44.0,"$62,500",310.85,clothing,nan
TXN-1062,  sarah CONNOR  ,Female,11/04/2022,39.0,"$45,000.00",312.05,ELECTRONICS,Canada
TXN-1063,nan,male,03/22/2021,54.0," $85,000 ",234.15, Home & Kitchen ,Germany
TXN-1064,  sarah CONNOR  ,female,INVALID_DATE,44.0,"$55,000",204.5,Clothing,United Kingdom
TXN-1065,nan,Female,11/04/2022,,nan,233.14,clothing,US
TXN-1066,emily WATSON ,male,2023.05.10,46.0,"$120,000.50",213.33,Electronics,Canada
TXN-1067,Laura Croft,Female,03/22/2021,20.0,"$120,000.50",367.94,electronics,UK
TXN-1068,  robert DOWNEY ,Female,2022-01-15,61.0,"$32,000",76.32, Home & Kitchen ,USA
TXN-1069,  Chris Hemsworth  ,Female,15-Aug-2020,30.0,"$32,000",106.84,electronics,US
TXN-1070,Laura Croft,Female,2021-12-01,62.0,nan,98.45,clothing,UK
TXN-1071,David BECKHAM,Female,03/22/2021,27.0,"$120,000.50",138.61,beauty,Canada
TXN-1072,  sarah CONNOR  ,female,2023.05.10,53.0,UNKNOWN,267.38,ELECTRONICS,US
TXN-1073,David BECKHAM,Male,11/04/2022,26.0," $85,000 ",64.49,cloths,United Kingdom
TXN-1074,Laura Croft,male,2022-01-15,150.0,"$120,000.50",435.4,Clothing,UK
TXN-1075,nan,Male,11/04/2022,,"$62,500",155.71,Beauty,USA
TXN-1076,  Chris Hemsworth  ,female,2022-01-15,200.0,nan,89.64,nan,nan
TXN-1077,  Chris Hemsworth  ,male,INVALID_DATE,44.0,UNKNOWN,341.05,ELECTRONICS,United Kingdom
TXN-1078,John Smith,F,2023.05.10,51.0," $85,000 ",28.66,cloths,CAN
TXN-1079,  Chris Hemsworth  ,Female,03/22/2021,68.0,"$120,000.50",313.78,nan,USA
TXN-1080,  robert DOWNEY ,female,15-Aug-2020,18.0,"$55,000",352.12, Home & Kitchen ,United States
TXN-1081,  Chris Hemsworth  ,nan,15-Aug-2020,49.0,"$95,000.00",115.31,nan,U.S.A.
TXN-1082,Laura Croft,female,2021-12-01,42.0,"$62,500",30.56,Electronics,United States
TXN-1083,John Smith,female,11/04/2022,46.0,"$55,000",188.19,ELECTRONICS,Germany
TXN-1084,Laura Croft,M,11/04/2022,24.0,"$32,000",58.31,electronics,nan
TXN-1085,Laura Croft,Female,2022-01-15,66.0,"$32,000",67.07,beauty,CAN
TXN-1086,Michael Jordan,male,03/22/2021,20.0,"$120,000.50",134.59,Beauty,CAN
TXN-1087,John Smith,Male,2022-01-15,37.0,"$32,000",154.78,electronics,U.S.A.
TXN-1088,Laura Croft,Female,2023.05.10,37.0,"$62,500",269.69,cloths,UK
TXN-1089,Michael Jordan,Female,08-11-2019,-5.0," $85,000 ",342.41,ELECTRONICS,U.S.A.
TXN-1090,Michael Jordan,male,15-Aug-2020,47.0,"$150,000.00",300.46,beauty,Germany
TXN-1091,John Smith,Female,03/22/2021,52.0,"$45,000.00",82.7,nan,United States
TXN-1092,David BECKHAM,F,2023.05.10,52.0,nan,94.32,ELECTRONICS,CAN
TXN-1093,nan,Female,2021-12-01,66.0," $85,000 ",440.6,nan,United States
TXN-1094,  robert DOWNEY ,Female,11/04/2022,56.0,"$150,000.00",283.59, Home & Kitchen ,USA
TXN-1095,nan,female,08-11-2019,44.0,UNKNOWN,436.27,Electronics,nan
TXN-1096,  Chris Hemsworth  ,nan,03/22/2021,43.0,"$62,500",192.06,clothing,US
TXN-1097,  robert DOWNEY ,Female,03/22/2021,31.0,"$55,000",311.06,ELECTRONICS,Germany
TXN-1098,  Chris Hemsworth  ,female,08-11-2019,34.0,"$150,000.00",266.6,cloths,US
TXN-1099,Laura Croft,nan,11/04/2022,35.0,"$62,500",166.37,nan,Germany
TXN-1100,  sarah CONNOR  ,f,15-Aug-2020,62.0,"$95,000.00",15000.0,electronics,Canada
TXN-1101,John Smith,Male,11/04/2022,69.0,"$55,000",256.22, Home & Kitchen ,nan
TXN-1102,  robert DOWNEY ,M,2021-12-01,46.0,"$32,000",108.38,cloths,USA
TXN-1103,  robert DOWNEY ,male,11/04/2022,37.0,"$32,000",164.36,Beauty,nan
TXN-1104,Laura Croft,Male,11/04/2022,-5.0,"$55,000",397.79,clothing,UK
TXN-1105,David BECKHAM,Female,15-Aug-2020,44.0,UNKNOWN,-50.0, Home & Kitchen ,Germany
TXN-1106,Michael Jordan,female,2023.05.10,35.0,UNKNOWN,186.3,Electronics,US
TXN-1107,Laura Croft,female,2023.05.10,21.0,UNKNOWN,160.42,clothing,Germany
TXN-1108,ANNA KOURNIKOVA,Male,2021-12-01,18.0,"$150,000.00",105.65,nan,UK
TXN-1109,Michael Jordan,female,2021-12-01,67.0,nan,342.46,cloths,Germany
TXN-1110,John Smith,Female,2021-12-01,18.0,"$150,000.00",168.32,Beauty,nan
TXN-1111,Michael Jordan,Female,2022-01-15,43.0,"$120,000.50",494.0,Clothing,United Kingdom
TXN-1112,David BECKHAM,F,11/04/2022,62.0,"$45,000.00",169.59,Electronics,Germany
TXN-1113,Michael Jordan,Female,2021-12-01,37.0,"$55,000",203.13,beauty,Canada
